term,translation,notes
AAP,米国小児科学会（AAP）,
Academy of Nutrition and Dietetics,アメリカ栄 養士会（AND）,
ACC,米国化学工業協会（ACC）,PFASの禁止に反対
Acceptable Daily Intake,許容一日摂取量（ADI）,
Accredited Third-Party Certification program,認定第三者認証プログラム,
ACI,カンナビノイド産業協会（ACI）,
ACS,米国がん協会（ACS）,
action level,措置基準,初出時は末尾に（action level）を併記
Action on Salt,日本語表記はありません,専門家グループ
action plan,行動計画,
Ad hoc Joint FAO/WHO Expert Consultation on Risk Assessment of Food Allergens,FAO/WHO合同食物アレルゲンリスク評価専門家特別協議,
ADI,許容一日摂取量（ADI）,
ADUFA,動物用医薬品ユーザーフィー法（ADUFA）,
Advocate,提唱者,アドボケート
AEI,アメリカン・エンタープライズ研究所（AEI）,COVID-19の影響に関するパネルディスカッションを主催
AFA,台湾農糧署（AFA）,
AFBF,米国農業連合会（AFBF）,
AFDO,食品医薬品検査官協会（AFDO）,Association of Food and Drug Officials
AFFI,米国冷凍食品協会（AFFI）,
AFGE,米国行政府職員連合（AFGE）,
AFL-CIO,アメリカ労働総同盟・産業別組合会議（AFL-CIO）,米国最大の労働者団体
African Swine Fever,アフリカ豚コレラ,African Swine Fever
"Agency for Food, Environmental and Occupational Health & Safety",食品環境労働衛生安全庁（ANSES）,フランスの政府機関
ag-gag law,畜産場隠し撮り禁止法（通称ag-gag法）,
AGRI committee,農業・農村開発委員会,
Agricultural Appropriations bill,農業支出法案,
Agricultural Marketing Service,農業マーケティング局（AMS）,USDAの下部機関
Agriculture and Horticulture Development Board,農業園芸開発公社（AHDB）,
Agriculture and Rural Development (AGRI) Committee ,農業・農村開発（AGRI）委員会,欧州議会の委員会
Agriculture Minister Tereza Cristina,テレザ・クリスチナ農務相,
agri-food,農産食品,
agrifood system,アグリフードシステム,
AHA,アメリカ心臓協会（AHA）,
AHDB,農業園芸開発公社（AHDB）,
AHPA,米国ハーブ製品協会（AHPA）,
Alcohol and Tobacco Tax and Trade Bureau,アルコール・タバコ税貿易管理局（TTB）,アルコール飲料のラベル表示基準に関する新規則を発行
ALDF,動物法律擁護基金（ALDF）,
allulose,アルロース,
"－Also,",－ その他：,
Amarin Pharma,日本語表記はありません,
Amazon,アマゾン,
American Academy of Pediatrics,米国小児科学会（AAP）,
American Beverage Association,米国飲料協会（ABA）,ABA
American Cancer Society,米国がん協会（ACS）,
American Enterprise Institute,アメリカン・エンタープライズ研究所（AEI）,COVID-19の影響に関するパネルディスカッションを主催
American Farm Bureau Federation,米国農業連合会（AFBF）,
American Federation of Government Employees,米国行政府職員連合（AFGE）,
American Frozen Food Institute,アメリカ冷凍食品協会（AFFI）,
American Heart Association,アメリカ心臓協会（AHA）,
American Herbal Products Association,米国ハーブ製品協会（AHPA）,
American Soybean Association,アメリカ大豆協会（ASA）,
AMR,薬剤耐性（AMR）,
AMS,農業マーケティング局（AMS）,USDAの下部機関
AND,アメリカ栄養士会（AND）,
Animal and Plant Health Inspection Service,動植物検疫局（APHIS）,
Animal Digestible Food Packaging Initiative,動物が消化可能な食品包装イニシアチブ,
Animal Legal Defense Fund (ALDF),動物法律擁護基金（Animal Legal Defense Fund:ALDF）,
Animal Pharm,日本語表記はありません,動物医療に携わる
Animal Welfare Institute,動物福祉研究所（AWI）,
Anna Eshoo,アンナ・エシュー,
